Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of
3891,Jan19 2020 22:34:50,M.Uchina,C3,Kreutz,Jan19 2020
3895,Jan30 2020 22:37:31,M.Uchina,C2,Meyer,Jan31 2020
3899,Feb08 2020 15:04:10,M.Uchina,C3,Kreutz,Feb08-09 2020
3911,Mar09 2020 23:24:00,M.Uchina,C3,Kreutz,Mar10 2020
3914,Mar12 2020 17:10:17,M.Uchina,C2,Kreutz,Mar12 2020
3919,Mar23 2020 06:44:49,M.Uchina,C2,Kreutz,Mar23 2020
3928,Apr16 2020 07:21:26,M.Uchina,C2,Kreutz,Apr14 2020
3959,May10 20 02:22:24,M.Uchina,C2,Kreutz,May10 20
3960,May10 20 17:13:03,M.Uchina,C2,Kreutz,May10 20
XC94,May16 20 00:11:08,M.Uchina,C2,Kreutz,May15 20
3964,May18 20 03:19:51,M.Uchina,C2,Kreutz,May18 20
3966,May19 20 08:35:56,M.Uchina,C3 C2,Kreutz,May19-20 20
3967,May20 20 13:50:43,M.Uchina,C2,Kreutz,May20 20
3972,May28 20 06:43:51,M.Uchina,C2,Kreutz,May26 20
3980,May31 20 23:57:24,M.Uchina,C2,Kreutz,Jun01 20
3983,Jun03 20 06:53:16,M.Uchina,C2,Kreutz,Jun03 20
3986,Jun06 20 09:30:49,M.Uchina,C2,Kreutz,Jun06 20
3990,Jun07 20 23:30:27,M.Uchina,C2,Kreutz,Jun07-08 20
